IPK,Kehadiran,Jam_Belajar,Organisasi,Penghasilan_Ortu,Jenis_Kelamin,Status_Beasiswa,Lulus_Tepat_Waktu
,98.4,13.6,Tidak Aktif,Rendah,P,Tidak,Ya
2.58,92.7,8.9,Aktif,Tinggi,L,Tidak,Ya
3.39,73.4,11.1,Tidak Aktif,Menengah,L,Tidak,Tidak
3.47,64.0,18.4,Aktif,Tinggi,L,Tidak,Tidak
2.17,,14.0,Tidak Aktif,Tinggi,P,Tidak,Tidak
2.46,75.5,16.4,Tidak Aktif,Rendah,L,Tidak,Tidak
3.11,100.0,18.7,Aktif,,P,Tidak,Ya
2.91,87.2,11.4,Tidak Aktif,Menengah,L,Tidak,Ya
3.04,75.3,19.3,Aktif,Rendah,L,Tidak,Tidak
2.67,87.6,16.7,Aktif,Menengah,L,Tidak,Tidak
3.45,63.3,5.4,Aktif,Tinggi,P,Tidak,Ya
3.4,78.4,24.1,Tidak Aktif,Rendah,P,Ya,Ya
3.08,83.2,10.5,Aktif,Menengah,P,Tidak,Ya
3.56,81.0,2.4,Tidak Aktif,Tinggi,P,Tidak,Tidak
3.26,91.5,6.7,Aktif,Menengah,L,Tidak,Ya
2.66,86.1,6.9,Tidak Aktif,Menengah,P,Tidak,Tidak
3.22,90.0,14.4,Tidak Aktif,Tinggi,L,Tidak,Tidak
2.62,73.7,12.1,Tidak Aktif,Menengah,L,Tidak,Ya
3.45,,11.6,Tidak Aktif,Rendah,L,Ya,Ya
3.03,100.0,18.3,Tidak Aktif,Rendah,L,Ya,Ya
2.97,70.4,16.4,Tidak Aktif,Tinggi,P,Tidak,Ya
2.74,71.3,16.2,Tidak Aktif,Rendah,P,Tidak,Ya
3.6,98.0,16.9,Tidak Aktif,Menengah,P,Ya,Ya
2.98,79.7,18.3,Tidak Aktif,Rendah,P,Tidak,Ya
2.86,98.8,0.0,Tidak Aktif,Menengah,P,Tidak,Ya
2.89,76.7,11.4,Tidak Aktif,Tinggi,L,Tidak,Ya
3.29,99.5,0.0,Aktif,Menengah,L,Tidak,Ya
3.21,83.6,14.3,Aktif,Tinggi,L,Tidak,Ya
3.24,85.1,14.0,Tidak Aktif,Rendah,P,Tidak,Ya
3.24,100.0,21.3,Tidak Aktif,Menengah,P,Tidak,Ya
4.0,77.7,22.3,Tidak Aktif,Tinggi,L,Ya,Ya
2.87,70.7,15.4,Tidak Aktif,Menengah,P,Tidak,Ya
2.82,76.6,10.5,Tidak Aktif,Rendah,P,Tidak,Tidak
2.68,87.4,17.4,Tidak Aktif,Tinggi,P,Tidak,Tidak
3.33,63.2,10.3,Aktif,Menengah,P,Tidak,Tidak
3.56,89.6,14.0,Aktif,Menengah,P,Tidak,Ya
3.0,75.5,,Tidak Aktif,Tinggi,P,Tidak,Ya
2.67,95.8,10.1,Tidak Aktif,Rendah,P,Tidak,Ya
2.68,53.3,,Tidak Aktif,Menengah,L,Tidak,Ya
3.34,72.6,18.7,Tidak Aktif,Rendah,P,Ya,Ya
3.38,61.8,7.3,Tidak Aktif,Menengah,L,Ya,Tidak
3.29,72.1,20.8,Aktif,Rendah,P,Ya,Ya
2.75,85.0,18.9,Tidak Aktif,Menengah,L,Tidak,Ya
3.15,79.8,14.7,Aktif,Rendah,L,Tidak,Ya
3.1,79.0,8.7,Tidak Aktif,Menengah,L,Tidak,Ya
